"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_attempt\widgets\quiz_attempt_app_bar.dart", "Dart", 64, 0, 5, 69
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_attempt\widgets\quiz_navigation_bar.dart", "Dart", 108, 0, 5, 113
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_attempt\widgets\quiz_option_tile.dart", "Dart", 79, 2, 4, 85
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_attempt\widgets\quiz_question_page.dart", "Dart", 63, 0, 4, 67
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_attempt\widgets\quiz_submit_dialog.dart", "Dart", 34, 0, 3, 37
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_list\quiz_list_screen.dart", "Dart", 62, 0, 4, 66
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_list\widgets\quiz_card.dart", "Dart", 95, 0, 5, 100
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_result\quiz_result_screen.dart", "Dart", 80, 0, 5, 85
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_result\widgets\quiz_question_analysis.dart", "Dart", 80, 0, 5, 85
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_result\widgets\quiz_score_card.dart", "Dart", 54, 0, 4, 58
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\quiz\quiz_result\widgets\quiz_stats_card.dart", "Dart", 78, 0, 5, 83
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\settings\settings_screen.dart", "Dart", 187, 0, 4, 191
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\settings\widgets\setting_tile.dart", "Dart", 38, 0, 4, 42
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\settings\widgets\settings_section.dart", "Dart", 41, 0, 4, 45
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\splash\splash_screen.dart", "Dart", 141, 0, 14, 155
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\create_course\create_course_screen.dart", "Dart", 1083, 18, 48, 1149
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\create_course\widgets\create_course_app_bar.dart", "Dart", 65, 0, 4, 69
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\my_courses\my_courses_screen.dart", "Dart", 134, 0, 9, 143
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\my_courses\widgets\empty_courses_state.dart", "Dart", 50, 0, 3, 53
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\my_courses\widgets\my_courses_app_bar.dart", "Dart", 48, 0, 3, 51
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\my_courses\widgets\shimmer_course_card.dart", "Dart", 118, 4, 4, 126
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\my_courses\widgets\teacher_course_card.dart", "Dart", 198, 0, 6, 204
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\payment\teacher_payment_screen.dart", "Dart", 138, 0, 13, 151
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\payment\widgets\balance_card.dart", "Dart", 51, 0, 5, 56
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\payment\widgets\payment_history_list.dart", "Dart", 180, 0, 22, 202
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\payment\widgets\withdrawal_screen.dart", "Dart", 335, 0, 19, 354
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\student_progress\student_progress_screen.dart", "Dart", 61, 0, 7, 68
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\student_progress\widgets\performance_card.dart", "Dart", 133, 2, 7, 142
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\student_progress\widgets\student_progress_app_bar.dart", "Dart", 54, 0, 3, 57
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\student_progress\widgets\student_progress_card.dart", "Dart", 154, 1, 4, 159
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_analytics\teacher_analytics_screen.dart", "Dart", 40, 0, 3, 43
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_analytics\widgets\enrollment_chart_widget.dart", "Dart", 105, 0, 6, 111
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_analytics\widgets\overview_cards_widget.dart", "Dart", 96, 0, 5, 101
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_analytics\widgets\revenue_stats_widgets.dart", "Dart", 105, 0, 4, 109
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_analytics\widgets\student_engagement_widget.dart", "Dart", 82, 0, 4, 86
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_analytics\widgets\teacher_analytics_app_bar.dart", "Dart", 53, 0, 3, 56
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_home\teacher_home_screen.dart", "Dart", 96, 0, 3, 99
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\teacher\teacher_home\widgets\dashboard_card.dart", "Dart", 47, 0, 3, 50
"Total", "-", 16527, 197, 1377, 18101
